NUM,YEAR,S,#,CODE,New?,Type,TITLE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,JOURNAL,VOL,ISSUE,PSTART,PEND,LENGTH,Journal Impact Factor ,Journal Ranking,Discpline Rank,Broadest Rank,1st/2nd,SENIOR,TOTAL CITES,COUNT,JOURNAL IMPACT FACTOR,DOI,Affiliation,AGU?,Grant #,Grant #,Grant #
35,2011,P,A,P11A,,RA,An ecohydrological approach to predicting hillslope-scale vegetation patterns in dryland ecosystems,"Franz, T.","Caylor, KK","King, E.G.","Nordbotten, J","Celia, MA","Rodriguez-Iturbe, I",,,,,,Water Resources Research,,,,,,,,,,1,,19,1,,10.1029/2011WR010524,Princeton,,EAR-847368,,
36,2011,P,B,P11B,,RA,Quantifying Transient Soil Moisture Dynamics Using Multipoint Direct-Current Resistivity in Homogeneous Sand,"Franz, T.","Nolan, J","Nordbotten, J","Caylor, KK","Slater, L.",,,,,,,Vadose Zone Journal,,,,,,,,,,,,4,1,,10.2136/vzj2010.0031,Princeton,0,EAR-847368,,
37,2011,P,C,P11C,,RA,Climatological determinants of woody cover in Africa,"Good, S.P.","Caylor, KK",,,,,,,,,,Proceedings of the National Academy of Sciences,,,,,,,,,,1,1,73,1,,10.1073/pnas.1013100108,Princeton,0,EAR-847368,,
38,2011,P,D,P11D,,RA,Coupling vegetation organization patterns to soil resource heterogeneity in a central Kenyan dryland using geophysical imagery,"Franz, T.","King, E.G.","Caylor, KK","Robinson, DA",,,,,,,,Water Resources Research,,,,,,,,,,,,18,1,,10.1029/2010WR010127,Princeton,1,,,
39,2011,P,E,P11E,,RA,Metabolic principles of river basin organization,"Rodriguez-Itrube, I","Caylor, KK","Rinaldo, A.",,,,,,,,,Proceedings of the National Academy of Sciences,,,,,,,,,,1,,12,1,,10.1073/pnas.1107561108,Princeton,0,EAR-847368,,
40,2011,P,F,P11F,,RA,"Ecohydrology in Practice: Strengths, Conveniences, and Opportunities","King, E.G.","Caylor, KK",,,,,,,,,,Ecohydrology,,,,,,,,,,1,1,20,1,,10.1002/eco.248,Princeton,,EAR-847368,,
41,2012,P,A,P12A,,RA,Multi-sensor derivation of regional vegetation fractional cover in Africa,"Guan, K.","Wood, E.F.","Caylor, KK",,,,,,,,,Remote Sensing of Environment,,,,,,,,,,,1,24,1,,10.1016/j.rse.2012.06.005,Princeton,,,,
42,2012,P,B,P12B,,RA,"Scaling ecohydrological and biogeochemical connectivity across multiple scales: a new concept and case applications
","Wang, L.","Zou, Chris","O’Donnell, F.","Good, S.","Franz, T.","Caylor, KK",,,,,,Ecohydrology,,,,,,,,,,,1,0,1,,10.1002/eco.1187,Princeton,0,EAR-847368,,
43,2012,P,C,P12C,,RA,"Ecohydrological interactions in a two-phase mosaic dryland: implications for regime shifts, resilience, and restoration","King, E.G.","Franz, T.","Caylor, KK",,,,,,,,,Ecohydrology,,,,,,,,,,,1,8,1,,10.1002/eco.260,Princeton,,EAR-847368,,
44,2012,P,D,P12D,,RA,Direct quantification of leaf transpiration isotopic composition,"Wang, L","Good, S.P.","Caylor, KK",,,,,,,,,Agriculture & Forest Meteorology,,,,,,,,,,,1,38,1,,10.1016/j.agrformet.2011.10.018,Princeton,,EAR-847368,,
45,2012,P,E,P12E,,RA,A model-based evaluation of woody plant encroachment impacts on coupled carbon and water cycles,O’Donnell,"Caylor, KK",,,,,,,,,,JGR - Biogeosciences,,,,,,,,,,1,1,5,1,,10.1029/2011JG001899,Princeton,1,EAR-847368,,
46,2012,P,F,P12F,,RA,Understanding the role of ecohydrological feedbacks in ecosystem-state change in drylands,"Turnbull, L","Wilcox, B.P.","Belnap, J","Ravi, S",others,"Caylor, KK",,,,,,Ecohydrology,,,,,,,,,,,,39,1,,10.1002/eco.265,Princeton,,,,
47,2012,P,G,P12G,,RA,Evaluating ecohydrological theories of woody root distribution in the Kalahari,"Bhattachan, A. ","Dintwe, K.","Tathlego, M.","O’Donnell, F.","Caylor, KK",et al.,,,,,,PLoS One,,,,,,,,,,,,17,1,,10.1371/journal.pone.0033996,Princeton,,EAR-847368,,
48,2012,P,H,P12H,,RA,Uncertainties in the assessment of the isotopic composition of surface fluxes: A direct comparison of techniques using laser‐based water vapor isotope analyzers,"Good, S.P.","Soderberg, K.","Wang, L","Caylor, KK",,,,,,,,JGR - Atmospheres,,,,,,,,,,,1,30,1,,10.1029/2011JD017168,Princeton,1,EAR-847368,,
49,2012,P,I,P12I,,RA,Reframing hydrology education to solve coupled human and environmental problems,"King, E.G.","O’Donnell, F.","Caylor, KK",,,,,,,,,Hydrology and Earth System Science,,,,,,,,,,,1,2,1,,10.5194/hess-16-4023-2012,Princeton,,EAR-847368,,
50,2012,P,J,P12J,,RA,"Stable isotopes of water vapor in the vadose zone: A review of measurement and modeling techniques 
","Soderberg, K.","Good, S.P.","Wang, L","Caylor, KK",,,,,,,,Vadose Zone Journal,,,,,,,,,,,1,0,1,,10.2136/vzj2011.0165,Princeton,,EAR-847368,,
51,2012,P,K,P12K,,RA,Dryland ecohydrology and climate change: critical issues and technical advances ,"Wang, L","D'Odorico, P","Evans, J","Eldridge, T.","McCabe, M","Caylor, KK",,,,,,Hydrology and Earth System Science,,,,,,,,,,,1,91,1,,10.5194/hess-16-2585-2012,Princeton,,EAR-847368,,
52,2013,P,A,P13A,,RA,Seasonal coupling of canopy structure and function in African tropical forests and its environmental controls,"Guan, K.","Wolf, A","Medvigy, David","Caylor, KK","Pan, Ming","Wood, E.F.",,,,,,Ecosphere,,,,,,,,,,,,19,1,,10.1890/ES12-00232.1,Princeton,,,,
53,2013,P,B,P13B,,RA,Using atmospheric trajectories to model the isotopic composition of rainfall in central Kenya,"Soderberg, K.","Good, S.P.","O’Connor, M","Wang, L","Ryan, K","Caylor, KK",,,,,,Ecosphere,,,,,,,,,,,1,16,1,,10.1890/ES12-00160.1,Princeton,,,,
54,2013,P,C,P13C,,RA,Ecosystem-scale spatial heterogeneity of stable isotopes of soil nitrogen in African savannas,"Wang, L.","Okin, GS","D’Odorico, P","Caylor, KK","Macko, S",,,,,,,Landscape Ecology,,,,,,,,,,,,14,1,,10.1007/s10980-012-9776-6,Princeton,,EAR-847368,,
55,2013,P,D,P13D,,RA,The effect of warming on grassland evapotranspiration partition using laser-based isotope monitoring techniques,"Wang, L","Nui, S.","Good, S.P.","Soderberg, K",others,"Caylor, KK",,,,,,Geochemica et Cosmochimica Acta,,,,,,,,,,,1,28,1,,10.1016/j.gca.2012.12.047,Princeton,,,,
56,2013,P,E,P13E,,RA,Analytical expressions of variability in ecosystem structure and function obtained from three-dimensional stochastic vegetation modelling,"Good, S.P.","Rodriguez-Iturbe, I","Caylor, KK",,,,,,,,,"Proceedings of the Royal Society, Series A",,,,,,,,,,,1,2,1,,10.1098/rspa.2013.0003,Princeton,,,,
57,2013,P,F,P13F,,RA,Virtual water trade and development in Africa,"Konar, M","Caylor, KK",,,,,,,,,,Hydrology and Earth System Science,,,,,,,,,,1,1,17,1,,10.5194/hess-17-3969-2013,Princeton,,,,
58,2013,P,G,P13G,,RA,On The Vulnerability of Water Limited Ecosystems to Climate Change,"Manfreda, S.","Caylor, KK",,,,,,,,,,Water,,,,,,,,,,1,1,10,1,,10.3390/w5020819,Princeton,,,,
59,2014,P,A,P14A,,RA,"An analysis of structure: biomass structure relationships for characteristic species of the western Kalahari, Botswana","Meyer, T","D’Odorico, P","Okin, GS","Shugart, HH","Caylor, KK",O’Donnell FC,,,,,,Journal of African Ecology,,,,,,,,,,,,3,1,,10.1111/aje.12086,Princeton,,,,
60,2014,P,B,P14B,,RA,δ2H Isotopic flux partitioning of evapotranspiration over a grass field following a water pulse and subsequent dry down,"Good, S.P.","Soderberg, K.",Guan K.,"King, E.G.","Scanlon, TM","Caylor, KK",,,,,,Water Resources Research,,,,,,,,,,,1,19,1,,10.1002/2013WR014333,Princeton,1,,,
61,2014,P,C,P14C,,RA,Deriving vegetation phenological time and trajectory information over Africa using SEVIRI daily LAI,"Guan, K.","Medvigy, D.","Wood, E.F.","Caylor, KK","Li, S.","Jeong, S.",,,,,,IEEE Transactions on Geoscience and Remote Sensing,,,,,,,,,,,,12,1,,10.1109/TGRS.2013.2247611,Princeton,,,,
62,2014,P,D,P14D,,RA,Continental-scale impacts of intra-seasonal rainfall variability on simulated ecosystem responses in Africa,"Guan, K.","Good, S.P.","Caylor, KK","Sato, Hisashui","Li, Haibin","Wood, E.F.",,,,,,Biogeosciences,,,,,,,,,,,,9,1,,10.5194/bg-11-6939-2014,Princeton,,,,
63,2014,P,E,P14E,,RA,"Changing water availability during the African maize-growing season, 1979-2010","Estes, L","Chaney, N.","Herrera-Estrada, J.","Sheffield, J","Caylor, KK","Wood, E.F.",,,,,,Environmental Research Letters,,,,,,,,,,,,0,1,,10.1088/1748-9326/9/7/075005,Princeton,,,,
64,2014,P,F,P14F,,RA,Global synthesis of vegetation control on evapotranspiration partitioning,"Wang, L.","Good, S.P.","Caylor, K.K.",`,,,,,,,,Geophysical Research Letters,,,,,,,,,,,1,51,1,,10.1002/2014GL061439,Princeton,1,,,
65,2014,P,G,P14G,,RA,Terrestrial hydrological controls on land surface phenology of African savannas and woodlands,"Guan, K.","Wood, E.F","Medvigy, David","Wolf, Adam","Kimball, John","Pan, Ming","Caylor, KK","Sheffield, J",,,,JGR - Biogeosciences,,,,,,,,,,,,40,1,,10.1002/2013JG002572,Princeton,1,,,
66,2015,P,A,P15A,,RA,Photosynthetic seasonality of global tropical forests constrained by hydroclimate,"Guan, K.","Pan, M.","Li, H.","Wolf, A","Medvigy, D","Caylor, KK","Sheffield, J","Wood, EF","Mahli, Y","Liang, M.",others,Nature Geoscience,,,,,,,,,,,,73,1,,10.1038/ngeo2382,Princeton,,,,
67,2015,P,B,P15B,,RA,Termite mounds can increase the robustness of dryland ecosystems to climatic change,"Bonachela, JA","Pringle, RM","Shefer, E","Coverdale, TC","Guyon, JA","Caylor, KK","Levin, SA","Tarnita, CE",,,,Science,,,,,,,,,,,,56,1,,10.1126/science.1261487,Princeton,,,,
68,2015,P,C,P15C,,RA,Carbon stable isotopes suggest that hippopotamus-vectored nutrients subsidize aquatic consumers in an East African river,"McCauley, D.J.","Dawson, T","Power, ME","Finlay, JC","Ogada, M","Gower, D.","Caylor, KK",,,,,Ecosphere,,,,,,,,,,,1,7,1,,10.1890/ES14-00514.1,Princeton,,,,
69,2015,P,D,P15D,,RA,A quantitative description of the interspecies diversity of belowground structure in savanna woody plants,O’Donnell,"Caylor, KK","Bhattachan, A","Dintwe, Kebonye","D’Odorico, P","Okin, G",,,,,,Ecosphere,,,,,,,,,,1,,3,1,,10.1890/ES14-00310.1,Princeton,,,,
70,2015,P,E,P15E,,RA,Dynamic interactions of ecohydrological and biogeochemical processes in water-limited systems,"Wang, L.","Manzoni, S.","Ravi, S.","Riveros-Iregui, D.","Caylor, KK",,,,,,,Ecosphere,,,,,,,,,,,1,15,1,,10.1890/ES15-00122.1,Princeton,,,,
71,2015,P,F,P15F,,RA,Warmer and wetter soil stimulates assimilation more than respiration in rainfed agricultural ecosystem on the China Loess Plateau: the role of partially plastic film mulching tillage,"Gong, D.","Hao, W.","Mei, X.","Gao, X.","Caylor, KK",,,,,,,PLoS One,,,,,,,,,,,1,12,1,,10.1371/journal.pone.0136578,Princeton,,,,
72,2015,P,G,P15G,,RA,Soil organic C and total N pools in the Kalahari: potential impacts of climate change on C sequestration in savannas,"Dintwe, K.","Okin, GS","D’Odorico, P","Hrast, T","Mladenov,N.","Handorean, A.","Bhattachan, A.","Caylor, KK",,,,Plant & Soil,,,,,,,,,,,,5,1,,10.1007/s11104-014-2292-5,Princeton,,,,
73,2016,P,A,P16A,,RA,"Global Patterns of the Contributions of Storm Frequency, Intensity, and Seasonality to Interannual Variability of Precipitation","Good, S.P.","Guan, K.","Caylor, K.K.",,,,,,,,,Journal of Climate,,,,,,4.16,10/85 in Meteorology & Atmospheric Sciences,10,,,1,0,1,,10.1175/JCLI-D-14-00653.1,Princeton,,,,
74,2016,P,B,P16B,,RA,Improved removal of volatile organic compounds for laser-based spectroscopy of water isotopes.,"Chang, E.","Wolf, A.","Gerlein-Safdi, C.","Caylor, KK",,,,,,,,Rapid Communications in Mass Spectrometry,,,,,,2.00,18/42 in Spectroscopy,,,,1,3,1,,doi.org/10.1002/rcm.7497,Princeton,,,,
75,2016,P,C,P16C,,RA,Community Water Governance on Mount Kenya: An Assessment Based on Ostrom’s Design Principles of Natural Resource Management,"Dell’Angelo, J","McCord, P","Gower, D.","Carpenter, S.","Caylor, K.","Evans, T.P.",,,,,,Mountain Research & Development,,,,,,1.149,,,,,,0,1,,10.1659/MRD-JOURNAL-D-15-00040.1,Princeton,,,,
76,2016,P,D,P16D,,RA,"A platform for crowdsourcing the creation of representative, accurate landcover maps","Estes, L","McRitchie, D.","Choi, J.","Debats, S.","Evans, T.","Guthe, W.","Luo, D.","Ragazzo, G.","Zempleni, R.","Caylor, KK",,Environmental Modelling & Software,,,,,,4.40,"6/105 Computer Science, Interdisciplinary Applied
8/49 in Environmental Engineering
25/229 in Environmental Sciences",6,25,,1,7,1,,10.1016/j.envsoft.2016.01.011,Princeton,,,,
77,2016,P,E,P16E,,RA,A generalized computer vision approach to mapping crop fields in heterogeneous agricultural landscapes,"Debats, S.","Luo, D.","Estes, L.D.","Fuchs, T.","Caylor, KK",,,,,,,Remote Sensing of Environment,,,,,,6.27,"2/29 in Remote Sensing
11/229 in Environmental Science",2,11,,,7,1,,10.1016/j.rse.2016.03.010,Princeton,,,,
78,2016,P,F,P16F,Y,RA,Explaining inter-annual variability of gross primary productivity from plant phenology and physiology,"Zhou, S","Zhang, Y.","Caylor, KK","Luo, Y.","Xiao, X.","Ciais, P.","Huang, Y.","Wang, G.",,,,Agricultural & Forest Meteorology,,,,,,3.89,"5/83 in Agronomy
1/64 in Forestry",1,5,,,4,1,,10.1016/j.agrformet.2016.06.010,Princeton,,,,
79,2016,P,G,P16G,Y,RA,"Reconciling agriculture, carbon and biodiversity in a savanna transformation frontier","Estes, L.","Searchinger, T.","Spiegel, M.","Tian, D.","Sichinga, S.","Mwale, M.","Kehoe, L.","Kuemmerle, T.","Berven, A.","Chaney, N.","Caylor, KK",Philosophical Transactions of the Royal Society B - Biological Sciences,,,,,,5.85,6/85 in Biology,6,6,,1,3,1,,10.1098/rstb.2015.0316,Princeton,,,,
80,2016,P,H,P16H,Y,RA,Modeling ecohydrological dynamics of smallholder strategies for food production in dryland agricultural systems,"Gower, D. B.","Dell’Angelo, J.","McCord, P.F.","Caylor, KK","Evans, T.P.",,,,,,,Environmental Research Letters,,,,,,4.40,"25/229 in Environmental Sciences
8/85 in Meteorology & Atmospheric Sciences",8,25,,,2,1,,10.1088/1748-9326/11/11/115005,UCSB,,,,
81,2017,P,A,P17A,Y,RA,An Ecohydrological Framework to Explain Shifts in Vegetation Organization Across Climatological Gradients,"Manfreda, S.","Caylor, KK","Good, S.P.",,,,,,,,,Ecohydrology,,,,,,2.85,"13/88 in Water Resources
49/153 in Ecology
76/229 in Environmental Sciences",13,76,1,,2,1,,10.1002/eco.1809 ,UCSB,,,,
82,2017,P,B,P17B,Y,RA,Dominant role of plant physiology in trend and variability of gross primary productivity in North America,"Zhou, S","Zhang, Y.","Ciais, P","Xiao, X.M.","Luo, Y.Q.","Caylor, KK",,,,,,Scientific Reports,,,,,,4.26,10/64 in Multidisciplinary Sciences,10,10,,1,5,1,,10.1038/srep41366,Princeton,,,,
83,2017,P,C,P17C,Y,RA,Comparison of multi-level water use efficiency between plastic film partially mulched and non-mulched croplands at eastern Loess Plateau of China,"Gong, D.","Mei, X.","Hao, W.","Caylor, KK",,,,,,,,Agricultural Water Management,,,,,,2.85,"13/83 in Agronomy
14/88 in Water Resources",14,13,,1,4,1,,10.1016/j.agwat.2016.06.006,Princeton,,,,
84,2017,P,D,P17D,Y,RA,Household-level heterogeneity of water resources within common-pool resource systems,"McCord, P.","Dell’Angelo, J.","Gower, D.","Caylor, KK","Evans, T.",,,,,,,Ecology & Society,,,,,,2.84,50/153 in Ecology,50,,,,2,1,,10.5751/ES-09156-220148,UCSB,,,,
85,2017,P,E,P17E,Y,RA,Comparison of ET partitioning and crop coefficients between partial plastic mulched and non-mulched maize fields,"Gong, D.","Mei, X.","Hao, W.","Caylor, KK",,,,,,,,Agricultural Water Management,,,,,,2.85,"13/83 in Agronomy
14/88 in Water Resources",14,13,,1,0,1,,10.1016/j.agwat.2016.11.016,Princeton,,,,
86,2017,P,F,P17F,Y,RA,"Triple oxygen isotope composition of leaf waters in Mpala, central Kenya","Li, S.","Dennis, K.","Levin, N.","Soderberg, K","Caylor, KK",,,,,,,Earth & Planetary Science Letters,,,,,,4.41,7/84 in Geochemistry & Geophysics,7,,,1,2,1,,10.1016/j.epsl.2017.02.015,UCSB,,,,
87,2017,P,G,P17G,Y,RA,Validation of SMAP surface soil moisture products with core validation sites,"Colliander, A","Jackson, TJ","Bindish, R.","others, including","Caylor, KK",,,,,,,Remote Sensing of Environment,,,,,,6.27,"2/29 in Remote Sensing
11/229 in Environmental Science",2,11,,,46,1,,10.1016/j.rse.2017.01.021,Princeton,,,,
